Name,Age,Overall,Wage,Preferred Foot,International Reputation,Weak Foot,Skill Moves,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle
L. Nestor,29,67,3000,Right,1.0,3.0,2.0,52.0,52.0,52.0,52.0,50.0,50.0,50.0,52.0,52.0,52.0,52.0,55.0,57.0,57.0,57.0,55.0,64.0,65.0,65.0,65.0,64.0,65.0,68.0,68.0,68.0,65.0,56.0,39.0,68.0,63.0,38.0,42.0,29.0,29.0,64.0,51.0,69.0,60.0,59.0,60.0,72.0,41.0,90.0,73.0,74.0,42.0,65.0,65.0,38.0,42.0,49.0,58.0,66.0,67.0,64.0
J. Thomassen,30,67,2000,Left,1.0,4.0,2.0,60.0,60.0,60.0,63.0,61.0,61.0,61.0,63.0,61.0,61.0,61.0,64.0,63.0,63.0,63.0,64.0,68.0,67.0,67.0,67.0,68.0,68.0,65.0,65.0,65.0,68.0,69.0,40.0,50.0,65.0,36.0,57.0,56.0,57.0,61.0,64.0,78.0,77.0,73.0,63.0,75.0,74.0,48.0,82.0,75.0,57.0,79.0,62.0,53.0,53.0,50.0,67.0,66.0,62.0,60.0
S. Lewerenz,27,67,5000,Right,1.0,4.0,3.0,64.0,64.0,64.0,69.0,67.0,67.0,67.0,69.0,68.0,68.0,68.0,68.0,61.0,61.0,61.0,68.0,52.0,48.0,48.0,48.0,52.0,48.0,40.0,40.0,40.0,48.0,66.0,70.0,42.0,63.0,51.0,71.0,64.0,57.0,53.0,66.0,78.0,72.0,83.0,64.0,79.0,54.0,66.0,58.0,56.0,58.0,47.0,41.0,66.0,62.0,54.0,64.0,18.0,19.0,18.0
V. Marchetti,20,67,2000,Left,1.0,3.0,3.0,64.0,64.0,64.0,67.0,65.0,65.0,65.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,68.0,67.0,67.0,67.0,68.0,67.0,65.0,65.0,65.0,67.0,68.0,59.0,58.0,70.0,59.0,63.0,54.0,58.0,73.0,72.0,67.0,70.0,75.0,57.0,67.0,59.0,60.0,65.0,62.0,61.0,58.0,62.0,60.0,60.0,57.0,61.0,65.0,67.0,68.0
G. Lódico,20,67,5000,Right,1.0,3.0,3.0,63.0,63.0,63.0,67.0,66.0,66.0,66.0,67.0,68.0,68.0,68.0,69.0,67.0,67.0,67.0,69.0,65.0,65.0,65.0,65.0,65.0,64.0,61.0,61.0,61.0,64.0,62.0,54.0,58.0,75.0,34.0,70.0,69.0,65.0,67.0,68.0,75.0,73.0,70.0,58.0,65.0,64.0,59.0,71.0,60.0,49.0,65.0,58.0,60.0,69.0,49.0,66.0,60.0,54.0,55.0
Leandro,25,67,4000,Right,1.0,4.0,3.0,69.0,69.0,69.0,69.0,68.0,68.0,68.0,69.0,68.0,68.0,68.0,68.0,62.0,62.0,62.0,68.0,52.0,51.0,51.0,51.0,52.0,49.0,46.0,46.0,46.0,49.0,63.0,72.0,62.0,63.0,63.0,66.0,60.0,40.0,60.0,64.0,77.0,75.0,76.0,62.0,74.0,69.0,59.0,70.0,73.0,62.0,69.0,27.0,66.0,67.0,63.0,58.0,46.0,20.0,12.0
R. Colclough,23,67,4000,Right,1.0,3.0,3.0,63.0,63.0,63.0,67.0,66.0,66.0,66.0,67.0,66.0,66.0,66.0,68.0,61.0,61.0,61.0,68.0,52.0,47.0,47.0,47.0,52.0,48.0,39.0,39.0,39.0,48.0,62.0,67.0,40.0,68.0,38.0,71.0,39.0,27.0,63.0,67.0,78.0,79.0,73.0,51.0,74.0,60.0,63.0,74.0,63.0,54.0,26.0,18.0,58.0,58.0,48.0,48.0,34.0,23.0,19.0
J. Ampuero,31,67,2000,Right,1.0,3.0,2.0,47.0,47.0,47.0,43.0,44.0,44.0,44.0,43.0,45.0,45.0,45.0,46.0,51.0,51.0,51.0,46.0,57.0,61.0,61.0,61.0,57.0,58.0,68.0,68.0,68.0,58.0,37.0,26.0,63.0,56.0,32.0,38.0,31.0,29.0,47.0,43.0,47.0,37.0,38.0,62.0,47.0,52.0,84.0,69.0,89.0,41.0,72.0,58.0,36.0,42.0,36.0,58.0,67.0,71.0,61.0
Dani Romera,22,67,4000,Right,1.0,3.0,3.0,67.0,67.0,67.0,66.0,67.0,67.0,67.0,66.0,65.0,65.0,65.0,64.0,55.0,55.0,55.0,64.0,47.0,44.0,44.0,44.0,47.0,45.0,42.0,42.0,42.0,45.0,47.0,69.0,51.0,55.0,62.0,67.0,55.0,70.0,39.0,65.0,78.0,80.0,81.0,64.0,88.0,71.0,77.0,57.0,66.0,60.0,57.0,17.0,67.0,57.0,69.0,59.0,40.0,20.0,15.0
C. Acuña,30,67,4000,Right,1.0,3.0,2.0,68.0,68.0,68.0,66.0,66.0,66.0,66.0,66.0,65.0,65.0,65.0,65.0,58.0,58.0,58.0,65.0,53.0,52.0,52.0,52.0,53.0,52.0,54.0,54.0,54.0,52.0,59.0,62.0,75.0,59.0,64.0,61.0,65.0,58.0,47.0,59.0,80.0,75.0,90.0,64.0,60.0,71.0,93.0,61.0,74.0,57.0,84.0,25.0,66.0,70.0,69.0,55.0,57.0,30.0,29.0
A. Radovanović,24,67,3000,Left,1.0,2.0,2.0,42.0,42.0,42.0,38.0,38.0,38.0,38.0,38.0,40.0,40.0,40.0,42.0,48.0,48.0,48.0,42.0,55.0,61.0,61.0,61.0,55.0,58.0,68.0,68.0,68.0,58.0,30.0,27.0,71.0,58.0,27.0,30.0,31.0,32.0,55.0,32.0,54.0,42.0,34.0,55.0,43.0,34.0,59.0,64.0,82.0,28.0,72.0,65.0,25.0,32.0,38.0,58.0,68.0,72.0,60.0
W. Moimbé-Tahrat,29,67,3000,Left,1.0,2.0,3.0,55.0,55.0,55.0,62.0,59.0,59.0,59.0,62.0,62.0,62.0,62.0,64.0,64.0,64.0,64.0,64.0,68.0,67.0,67.0,67.0,68.0,67.0,64.0,64.0,64.0,67.0,64.0,36.0,46.0,64.0,54.0,64.0,41.0,39.0,63.0,63.0,67.0,70.0,77.0,68.0,83.0,46.0,65.0,84.0,64.0,46.0,63.0,64.0,52.0,59.0,51.0,62.0,65.0,65.0,64.0
N. Julan,21,67,6000,Right,1.0,3.0,3.0,67.0,67.0,67.0,63.0,64.0,64.0,64.0,63.0,62.0,62.0,62.0,62.0,56.0,56.0,56.0,62.0,46.0,44.0,44.0,44.0,46.0,43.0,42.0,42.0,42.0,43.0,50.0,72.0,77.0,62.0,59.0,65.0,49.0,39.0,48.0,63.0,66.0,67.0,55.0,52.0,59.0,65.0,66.0,59.0,76.0,63.0,27.0,19.0,60.0,54.0,69.0,59.0,29.0,24.0,11.0
T. Ebner,26,67,6000,Right,1.0,3.0,2.0,51.0,51.0,51.0,56.0,53.0,53.0,53.0,56.0,56.0,56.0,56.0,58.0,60.0,60.0,60.0,58.0,67.0,67.0,67.0,67.0,67.0,67.0,69.0,69.0,69.0,67.0,56.0,24.0,58.0,65.0,30.0,57.0,53.0,25.0,58.0,60.0,71.0,68.0,67.0,65.0,64.0,47.0,90.0,76.0,72.0,52.0,78.0,71.0,32.0,49.0,38.0,66.0,71.0,65.0,62.0
A. Vindheim,22,67,2000,Right,1.0,3.0,3.0,60.0,60.0,60.0,66.0,64.0,64.0,64.0,66.0,64.0,64.0,64.0,68.0,63.0,63.0,63.0,68.0,69.0,64.0,64.0,64.0,69.0,68.0,61.0,61.0,61.0,68.0,68.0,48.0,44.0,62.0,41.0,66.0,61.0,45.0,55.0,63.0,81.0,87.0,71.0,68.0,66.0,63.0,58.0,91.0,63.0,45.0,55.0,58.0,56.0,61.0,40.0,52.0,65.0,60.0,58.0
L. Acevedo,26,67,4000,Right,1.0,3.0,2.0,47.0,47.0,47.0,40.0,42.0,42.0,42.0,40.0,41.0,41.0,41.0,42.0,47.0,47.0,47.0,42.0,56.0,61.0,61.0,61.0,56.0,59.0,67.0,67.0,67.0,59.0,31.0,40.0,65.0,52.0,31.0,21.0,36.0,31.0,33.0,55.0,34.0,52.0,32.0,62.0,30.0,46.0,39.0,69.0,88.0,23.0,83.0,66.0,24.0,34.0,39.0,51.0,62.0,65.0,63.0
S. Zúñiga,28,67,2000,Right,1.0,3.0,3.0,65.0,65.0,65.0,68.0,66.0,66.0,66.0,68.0,67.0,67.0,67.0,67.0,61.0,61.0,61.0,67.0,51.0,49.0,49.0,49.0,51.0,48.0,43.0,43.0,43.0,48.0,68.0,59.0,47.0,66.0,62.0,72.0,74.0,65.0,63.0,63.0,79.0,70.0,75.0,53.0,77.0,70.0,59.0,58.0,75.0,60.0,44.0,27.0,67.0,65.0,69.0,53.0,30.0,27.0,19.0
T. Vlietinck,20,67,6000,Right,1.0,4.0,3.0,62.0,62.0,62.0,67.0,65.0,65.0,65.0,67.0,66.0,66.0,66.0,68.0,63.0,63.0,63.0,68.0,63.0,58.0,58.0,58.0,63.0,62.0,54.0,54.0,54.0,62.0,70.0,48.0,58.0,66.0,61.0,67.0,62.0,58.0,58.0,68.0,83.0,80.0,63.0,64.0,74.0,58.0,73.0,62.0,40.0,52.0,32.0,50.0,64.0,60.0,54.0,67.0,60.0,52.0,41.0
E. Friberg,32,67,2000,Right,1.0,4.0,2.0,60.0,60.0,60.0,63.0,63.0,63.0,63.0,63.0,65.0,65.0,65.0,64.0,68.0,68.0,68.0,64.0,62.0,65.0,65.0,65.0,62.0,60.0,60.0,60.0,60.0,60.0,69.0,59.0,44.0,70.0,49.0,58.0,73.0,66.0,69.0,67.0,34.0,52.0,62.0,64.0,62.0,57.0,76.0,79.0,63.0,59.0,73.0,52.0,64.0,70.0,47.0,64.0,64.0,55.0,45.0
A. Oshilaja,25,67,3000,Right,1.0,3.0,2.0,47.0,47.0,47.0,50.0,47.0,47.0,47.0,50.0,48.0,48.0,48.0,53.0,51.0,51.0,51.0,53.0,64.0,62.0,62.0,62.0,64.0,66.0,68.0,68.0,68.0,66.0,48.0,24.0,65.0,58.0,22.0,54.0,26.0,22.0,52.0,56.0,81.0,84.0,71.0,56.0,62.0,39.0,92.0,76.0,84.0,23.0,57.0,61.0,13.0,26.0,20.0,50.0,66.0,67.0,64.0
G. Herrera,34,67,6000,Right,1.0,3.0,2.0,68.0,68.0,68.0,65.0,66.0,66.0,66.0,65.0,64.0,64.0,64.0,64.0,61.0,61.0,61.0,64.0,58.0,56.0,56.0,56.0,58.0,57.0,56.0,56.0,56.0,57.0,56.0,61.0,66.0,62.0,57.0,63.0,60.0,44.0,47.0,62.0,69.0,68.0,69.0,68.0,59.0,75.0,75.0,76.0,81.0,64.0,70.0,39.0,67.0,60.0,69.0,64.0,35.0,45.0,47.0
J. Nyholm,24,67,3000,Right,1.0,3.0,2.0,57.0,57.0,57.0,59.0,58.0,58.0,58.0,59.0,60.0,60.0,60.0,60.0,61.0,61.0,61.0,60.0,65.0,66.0,66.0,66.0,65.0,66.0,68.0,68.0,68.0,66.0,43.0,42.0,61.0,63.0,32.0,61.0,40.0,21.0,64.0,63.0,76.0,83.0,83.0,55.0,71.0,56.0,80.0,67.0,70.0,47.0,64.0,73.0,45.0,50.0,30.0,57.0,63.0,65.0,67.0
D. Nishi,30,67,4000,Right,1.0,3.0,3.0,59.0,59.0,59.0,62.0,60.0,60.0,60.0,62.0,62.0,62.0,62.0,65.0,66.0,66.0,66.0,65.0,69.0,69.0,69.0,69.0,69.0,68.0,68.0,68.0,68.0,68.0,69.0,55.0,58.0,70.0,55.0,65.0,54.0,42.0,68.0,67.0,49.0,60.0,65.0,59.0,68.0,42.0,78.0,88.0,71.0,46.0,74.0,62.0,53.0,54.0,37.0,52.0,65.0,65.0,72.0
Nadjack,24,67,3000,Right,1.0,3.0,2.0,57.0,57.0,57.0,60.0,59.0,59.0,59.0,60.0,58.0,58.0,58.0,62.0,59.0,59.0,59.0,62.0,68.0,65.0,65.0,65.0,68.0,68.0,66.0,66.0,66.0,68.0,66.0,30.0,41.0,60.0,39.0,62.0,54.0,32.0,51.0,63.0,71.0,79.0,67.0,65.0,59.0,71.0,81.0,75.0,73.0,43.0,72.0,66.0,58.0,44.0,31.0,65.0,61.0,68.0,67.0
K. Broadfoot,33,67,3000,Right,1.0,3.0,2.0,45.0,45.0,45.0,44.0,45.0,45.0,45.0,44.0,46.0,46.0,46.0,48.0,54.0,54.0,54.0,48.0,58.0,64.0,64.0,64.0,58.0,59.0,67.0,67.0,67.0,59.0,49.0,17.0,72.0,56.0,23.0,54.0,26.0,41.0,61.0,56.0,28.0,31.0,27.0,61.0,34.0,54.0,30.0,64.0,82.0,22.0,81.0,66.0,26.0,42.0,43.0,47.0,62.0,67.0,63.0
K. Omori,26,67,4000,Right,1.0,3.0,3.0,63.0,63.0,63.0,67.0,65.0,65.0,65.0,67.0,67.0,67.0,67.0,68.0,64.0,64.0,64.0,68.0,57.0,56.0,56.0,56.0,57.0,53.0,48.0,48.0,48.0,53.0,67.0,61.0,39.0,72.0,55.0,65.0,61.0,38.0,69.0,67.0,68.0,65.0,79.0,55.0,88.0,62.0,88.0,78.0,69.0,53.0,35.0,39.0,68.0,60.0,59.0,59.0,51.0,30.0,25.0
Alemão,31,67,3000,Right,1.0,2.0,2.0,44.0,44.0,44.0,39.0,41.0,41.0,41.0,39.0,42.0,42.0,42.0,43.0,50.0,50.0,50.0,43.0,56.0,62.0,62.0,62.0,56.0,58.0,68.0,68.0,68.0,58.0,32.0,25.0,66.0,58.0,23.0,38.0,26.0,28.0,52.0,40.0,38.0,34.0,34.0,65.0,33.0,54.0,65.0,65.0,81.0,31.0,79.0,65.0,23.0,34.0,43.0,62.0,66.0,68.0,64.0
T. Asta-Buruaga,21,67,1000,Right,1.0,2.0,2.0,53.0,53.0,53.0,53.0,51.0,51.0,51.0,53.0,51.0,51.0,51.0,54.0,53.0,53.0,53.0,54.0,64.0,61.0,61.0,61.0,64.0,65.0,67.0,67.0,67.0,65.0,56.0,37.0,63.0,56.0,37.0,45.0,35.0,41.0,41.0,55.0,63.0,69.0,64.0,58.0,34.0,51.0,72.0,73.0,71.0,45.0,63.0,60.0,42.0,37.0,46.0,52.0,71.0,70.0,68.0
K. Azamoum,28,67,4000,Right,1.0,2.0,3.0,62.0,62.0,62.0,67.0,66.0,66.0,66.0,67.0,68.0,68.0,68.0,67.0,69.0,69.0,69.0,67.0,66.0,68.0,68.0,68.0,66.0,65.0,63.0,63.0,63.0,65.0,69.0,54.0,41.0,73.0,46.0,66.0,67.0,65.0,72.0,68.0,65.0,57.0,73.0,67.0,76.0,62.0,61.0,55.0,68.0,64.0,59.0,66.0,62.0,69.0,58.0,61.0,55.0,68.0,64.0
A. Mozo,21,67,5000,Right,1.0,3.0,3.0,53.0,53.0,53.0,61.0,57.0,57.0,57.0,61.0,59.0,59.0,59.0,63.0,60.0,60.0,60.0,63.0,67.0,64.0,64.0,64.0,67.0,67.0,63.0,63.0,63.0,67.0,62.0,33.0,54.0,64.0,35.0,64.0,34.0,38.0,61.0,64.0,79.0,80.0,80.0,60.0,73.0,29.0,55.0,75.0,56.0,34.0,56.0,60.0,53.0,42.0,47.0,60.0,63.0,66.0,64.0
A. Gilbey,23,67,5000,Right,1.0,3.0,3.0,66.0,66.0,66.0,65.0,66.0,66.0,66.0,65.0,66.0,66.0,66.0,66.0,67.0,67.0,67.0,66.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,51.0,54.0,64.0,68.0,57.0,64.0,57.0,56.0,66.0,64.0,75.0,78.0,77.0,60.0,75.0,72.0,83.0,87.0,79.0,67.0,59.0,63.0,59.0,64.0,56.0,61.0,57.0,66.0,64.0
S. Nagasawa,29,67,5000,Right,1.0,3.0,3.0,67.0,67.0,67.0,60.0,63.0,63.0,63.0,60.0,60.0,60.0,60.0,58.0,53.0,53.0,53.0,58.0,44.0,43.0,43.0,43.0,44.0,42.0,43.0,43.0,43.0,42.0,42.0,71.0,67.0,62.0,64.0,66.0,55.0,42.0,32.0,67.0,48.0,52.0,32.0,57.0,31.0,66.0,32.0,56.0,89.0,69.0,30.0,11.0,64.0,41.0,63.0,52.0,33.0,26.0,23.0
Jorge Fellipe,29,67,4000,Left,1.0,2.0,2.0,44.0,44.0,44.0,40.0,42.0,42.0,42.0,40.0,42.0,42.0,42.0,43.0,49.0,49.0,49.0,43.0,56.0,62.0,62.0,62.0,56.0,58.0,68.0,68.0,68.0,58.0,32.0,23.0,69.0,55.0,30.0,42.0,35.0,35.0,45.0,51.0,31.0,35.0,32.0,67.0,33.0,39.0,50.0,52.0,78.0,24.0,78.0,68.0,25.0,30.0,40.0,55.0,66.0,68.0,63.0
M. Rutten,25,67,3000,Right,1.0,3.0,2.0,58.0,58.0,58.0,60.0,59.0,59.0,59.0,60.0,61.0,61.0,61.0,62.0,63.0,63.0,63.0,62.0,67.0,67.0,67.0,67.0,67.0,68.0,67.0,67.0,67.0,68.0,58.0,49.0,62.0,67.0,43.0,59.0,49.0,44.0,65.0,64.0,69.0,67.0,63.0,61.0,65.0,53.0,77.0,73.0,68.0,48.0,59.0,65.0,45.0,57.0,44.0,64.0,64.0,69.0,70.0
Neris,26,67,3000,Right,1.0,3.0,2.0,49.0,49.0,49.0,42.0,44.0,44.0,44.0,42.0,44.0,44.0,44.0,45.0,50.0,50.0,50.0,45.0,57.0,62.0,62.0,62.0,57.0,59.0,67.0,67.0,67.0,59.0,30.0,33.0,66.0,61.0,35.0,32.0,39.0,42.0,57.0,45.0,51.0,53.0,52.0,52.0,57.0,60.0,68.0,62.0,91.0,34.0,52.0,66.0,30.0,30.0,48.0,55.0,66.0,67.0,66.0
Moon Chang Jin,24,67,2000,Right,1.0,4.0,3.0,64.0,64.0,64.0,68.0,67.0,67.0,67.0,68.0,67.0,67.0,67.0,67.0,61.0,61.0,61.0,67.0,53.0,50.0,50.0,50.0,53.0,50.0,43.0,43.0,43.0,50.0,61.0,65.0,40.0,66.0,45.0,70.0,64.0,68.0,57.0,68.0,66.0,75.0,81.0,65.0,76.0,64.0,47.0,63.0,59.0,45.0,32.0,28.0,63.0,64.0,56.0,60.0,48.0,25.0,22.0
J. Mena,29,67,4000,Right,1.0,2.0,2.0,49.0,49.0,49.0,45.0,47.0,47.0,47.0,45.0,46.0,46.0,46.0,48.0,49.0,49.0,49.0,48.0,58.0,61.0,61.0,61.0,58.0,61.0,68.0,68.0,68.0,61.0,22.0,26.0,64.0,53.0,28.0,47.0,30.0,27.0,49.0,50.0,68.0,76.0,48.0,57.0,51.0,63.0,83.0,56.0,76.0,16.0,79.0,69.0,27.0,32.0,38.0,53.0,62.0,66.0,65.0
C. Espinosa,35,67,1000,Left,1.0,3.0,3.0,57.0,57.0,57.0,63.0,63.0,63.0,63.0,63.0,67.0,67.0,67.0,62.0,65.0,65.0,65.0,62.0,49.0,52.0,52.0,52.0,49.0,47.0,42.0,42.0,42.0,47.0,47.0,51.0,32.0,74.0,65.0,66.0,69.0,61.0,73.0,70.0,61.0,48.0,59.0,58.0,75.0,59.0,38.0,33.0,45.0,69.0,43.0,25.0,53.0,75.0,68.0,61.0,21.0,45.0,44.0
A. Nkaka,22,67,4000,Right,1.0,3.0,2.0,56.0,56.0,56.0,57.0,58.0,58.0,58.0,57.0,59.0,59.0,59.0,60.0,62.0,62.0,62.0,60.0,65.0,67.0,67.0,67.0,65.0,66.0,68.0,68.0,68.0,66.0,47.0,28.0,62.0,65.0,30.0,59.0,36.0,37.0,62.0,64.0,74.0,68.0,70.0,63.0,78.0,77.0,73.0,71.0,67.0,36.0,74.0,67.0,42.0,58.0,43.0,50.0,67.0,66.0,64.0
Álvaro Tejero,21,67,24000,Right,1.0,3.0,2.0,58.0,58.0,58.0,61.0,60.0,60.0,60.0,61.0,59.0,59.0,59.0,61.0,59.0,59.0,59.0,61.0,67.0,63.0,63.0,63.0,67.0,67.0,65.0,65.0,65.0,67.0,60.0,35.0,55.0,64.0,20.0,61.0,60.0,68.0,40.0,67.0,74.0,73.0,78.0,62.0,83.0,75.0,84.0,74.0,53.0,64.0,65.0,64.0,50.0,40.0,58.0,56.0,63.0,65.0,66.0
F. Concas,31,67,2000,Right,1.0,3.0,3.0,64.0,64.0,64.0,67.0,66.0,66.0,66.0,67.0,66.0,66.0,66.0,68.0,63.0,63.0,63.0,68.0,62.0,58.0,58.0,58.0,62.0,60.0,54.0,54.0,54.0,60.0,56.0,53.0,55.0,66.0,54.0,70.0,57.0,52.0,62.0,71.0,81.0,90.0,81.0,66.0,84.0,68.0,73.0,79.0,67.0,52.0,64.0,44.0,50.0,53.0,60.0,72.0,30.0,48.0,47.0
D. Kolovos,25,67,3000,Right,1.0,4.0,3.0,65.0,65.0,65.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,67.0,62.0,62.0,62.0,67.0,50.0,49.0,49.0,49.0,50.0,46.0,41.0,41.0,41.0,46.0,64.0,66.0,37.0,65.0,66.0,71.0,65.0,66.0,62.0,69.0,68.0,67.0,67.0,62.0,65.0,67.0,65.0,52.0,62.0,64.0,55.0,18.0,67.0,65.0,61.0,65.0,28.0,26.0,27.0
Zhang Yuning,21,67,9000,Right,1.0,4.0,3.0,68.0,68.0,68.0,64.0,65.0,65.0,65.0,64.0,65.0,65.0,65.0,64.0,60.0,60.0,60.0,64.0,47.0,47.0,47.0,47.0,47.0,45.0,43.0,43.0,43.0,45.0,53.0,67.0,73.0,67.0,61.0,61.0,58.0,41.0,63.0,68.0,63.0,65.0,64.0,54.0,65.0,71.0,72.0,61.0,73.0,63.0,47.0,23.0,66.0,56.0,42.0,60.0,20.0,22.0,18.0
J. Perch,32,67,4000,Right,1.0,3.0,2.0,59.0,59.0,59.0,60.0,60.0,60.0,60.0,60.0,61.0,61.0,61.0,62.0,64.0,64.0,64.0,62.0,67.0,68.0,68.0,68.0,67.0,67.0,69.0,69.0,69.0,67.0,62.0,44.0,66.0,65.0,43.0,58.0,47.0,37.0,61.0,65.0,61.0,54.0,59.0,66.0,70.0,53.0,71.0,68.0,68.0,44.0,70.0,70.0,59.0,60.0,51.0,64.0,68.0,67.0,68.0
I. Niane,19,67,2000,Right,1.0,3.0,4.0,68.0,68.0,68.0,66.0,67.0,67.0,67.0,66.0,64.0,64.0,64.0,64.0,54.0,54.0,54.0,64.0,44.0,39.0,39.0,39.0,44.0,41.0,35.0,35.0,35.0,41.0,46.0,67.0,62.0,55.0,47.0,74.0,47.0,50.0,43.0,65.0,86.0,78.0,75.0,56.0,45.0,74.0,68.0,58.0,63.0,65.0,35.0,11.0,64.0,48.0,71.0,57.0,11.0,14.0,16.0
J. Anibaba,29,67,3000,Right,1.0,3.0,2.0,54.0,54.0,54.0,54.0,53.0,53.0,53.0,54.0,54.0,54.0,54.0,56.0,58.0,58.0,58.0,56.0,65.0,65.0,65.0,65.0,65.0,66.0,67.0,67.0,67.0,66.0,58.0,29.0,64.0,63.0,39.0,49.0,50.0,45.0,57.0,56.0,59.0,65.0,67.0,66.0,61.0,68.0,75.0,74.0,75.0,56.0,67.0,66.0,36.0,43.0,43.0,58.0,67.0,62.0,65.0
Iñigo Muñoz,21,67,6000,Right,1.0,3.0,3.0,62.0,62.0,62.0,69.0,66.0,66.0,66.0,69.0,66.0,66.0,66.0,68.0,58.0,58.0,58.0,68.0,57.0,50.0,50.0,50.0,57.0,54.0,45.0,45.0,45.0,54.0,65.0,52.0,45.0,62.0,47.0,74.0,53.0,34.0,47.0,72.0,90.0,88.0,90.0,60.0,92.0,61.0,61.0,55.0,40.0,40.0,42.0,35.0,59.0,57.0,55.0,64.0,45.0,31.0,32.0
T. Sana,28,67,6000,Right,1.0,3.0,3.0,68.0,68.0,68.0,71.0,70.0,70.0,70.0,71.0,70.0,70.0,70.0,70.0,63.0,63.0,63.0,70.0,54.0,51.0,51.0,51.0,54.0,51.0,44.0,44.0,44.0,51.0,60.0,67.0,54.0,65.0,58.0,73.0,69.0,59.0,58.0,71.0,82.0,77.0,92.0,60.0,79.0,61.0,66.0,73.0,62.0,66.0,42.0,27.0,69.0,63.0,57.0,65.0,32.0,29.0,25.0
P. Papp,28,67,5000,Right,1.0,3.0,2.0,57.0,57.0,57.0,53.0,53.0,53.0,53.0,53.0,52.0,52.0,52.0,55.0,56.0,56.0,56.0,55.0,63.0,64.0,64.0,64.0,63.0,65.0,67.0,67.0,67.0,65.0,59.0,44.0,74.0,67.0,43.0,43.0,52.0,49.0,64.0,49.0,62.0,64.0,59.0,59.0,59.0,68.0,70.0,66.0,72.0,48.0,63.0,65.0,45.0,33.0,51.0,71.0,66.0,64.0,66.0
T. Tzandaris,25,67,1000,Left,1.0,4.0,3.0,59.0,59.0,59.0,62.0,61.0,61.0,61.0,62.0,61.0,61.0,61.0,63.0,64.0,64.0,64.0,63.0,68.0,68.0,68.0,68.0,68.0,68.0,66.0,66.0,66.0,68.0,62.0,47.0,50.0,68.0,42.0,66.0,44.0,55.0,65.0,67.0,68.0,70.0,64.0,70.0,75.0,66.0,65.0,69.0,60.0,61.0,70.0,68.0,39.0,45.0,43.0,65.0,68.0,68.0,62.0
K. Staude,21,67,4000,Right,1.0,3.0,3.0,62.0,62.0,62.0,69.0,67.0,67.0,67.0,69.0,67.0,67.0,67.0,67.0,62.0,62.0,62.0,67.0,59.0,55.0,55.0,55.0,59.0,56.0,50.0,50.0,50.0,56.0,65.0,56.0,38.0,67.0,52.0,77.0,66.0,37.0,49.0,72.0,78.0,72.0,81.0,50.0,76.0,66.0,61.0,60.0,46.0,68.0,59.0,48.0,65.0,53.0,44.0,62.0,42.0,46.0,41.0
A. Oumarou,31,67,8000,Right,1.0,3.0,3.0,68.0,68.0,68.0,67.0,67.0,67.0,67.0,67.0,66.0,66.0,66.0,66.0,59.0,59.0,59.0,66.0,55.0,51.0,51.0,51.0,55.0,54.0,50.0,50.0,50.0,54.0,57.0,63.0,65.0,59.0,57.0,68.0,39.0,46.0,42.0,65.0,79.0,79.0,78.0,65.0,74.0,69.0,84.0,66.0,68.0,59.0,59.0,39.0,67.0,61.0,65.0,64.0,25.0,35.0,37.0
I. Kecojević,30,67,3000,Right,1.0,3.0,2.0,46.0,46.0,46.0,44.0,44.0,44.0,44.0,44.0,45.0,45.0,45.0,47.0,50.0,50.0,50.0,47.0,59.0,61.0,61.0,61.0,59.0,61.0,67.0,67.0,67.0,61.0,46.0,25.0,67.0,59.0,30.0,28.0,28.0,31.0,38.0,58.0,60.0,42.0,39.0,59.0,31.0,42.0,80.0,65.0,84.0,29.0,62.0,62.0,30.0,38.0,40.0,60.0,60.0,70.0,64.0
L. López,24,67,8000,Right,1.0,3.0,3.0,60.0,60.0,60.0,64.0,63.0,63.0,63.0,64.0,65.0,65.0,65.0,66.0,67.0,67.0,67.0,66.0,67.0,68.0,68.0,68.0,67.0,66.0,65.0,65.0,65.0,66.0,60.0,45.0,58.0,71.0,40.0,63.0,57.0,43.0,69.0,66.0,67.0,66.0,67.0,64.0,76.0,58.0,65.0,71.0,61.0,52.0,68.0,66.0,62.0,64.0,51.0,66.0,61.0,65.0,63.0
